item_id,item_name,category,sub_category,price,is_veg,is_available,calories,prep_time_min,last_updated
ITEM001,Idli (2 pcs),Breakfast,Steamed,30,Yes,1,150,10,2024-01-01
ITEM002,Masala Dosa,Breakfast,Dosa,60,Yes,1,280,12,2024-01-01
ITEM003,Plain Dosa,Breakfast,Dosa,45,Yes,1,220,10,2024-01-01
ITEM004,Rava Dosa,Breakfast,Dosa,70,Yes,1,310,14,2024-01-01
ITEM005,Pongal,Breakfast,Rice,50,Yes,1,320,15,2024-01-01
ITEM006,Vada (2 pcs),Breakfast,Fried,35,Yes,1,200,8,2024-01-01
ITEM007,Sambar Vada,Breakfast,Fried,45,Yes,1,240,8,2024-01-01
ITEM008,Poori Masala,Breakfast,Fried,55,Yes,1,380,12,2024-01-01
ITEM009,Upma,Breakfast,Semolina,40,Yes,1,260,10,2024-01-01
ITEM010,Kesari,Breakfast,Sweet,35,Yes,1,300,8,2024-01-01
ITEM011,Mini Tiffin Combo,Combo,Tiffin,80,Yes,1,500,15,2024-01-01
ITEM012,Full Meals,Meals,Rice Meals,120,Yes,1,900,20,2024-01-01
ITEM013,Mini Meals,Meals,Rice Meals,80,Yes,1,600,15,2024-01-01
ITEM014,Curd Rice,Meals,Rice,60,Yes,1,350,5,2024-01-01
ITEM015,Lemon Rice,Meals,Rice,55,Yes,1,320,8,2024-01-01
ITEM016,Tomato Rice,Meals,Rice,55,Yes,1,310,8,2024-01-01
ITEM017,Chicken Biryani,Biryani,Non-Veg,180,No,1,680,30,2024-01-01
ITEM018,Mutton Biryani,Biryani,Non-Veg,220,No,1,780,35,2024-01-01
ITEM019,Veg Biryani,Biryani,Veg,140,Yes,1,520,25,2024-01-01
ITEM020,Egg Biryani,Biryani,Non-Veg,150,No,1,580,25,2024-01-01
ITEM021,Chicken 65,Starters,Non-Veg,160,No,1,420,15,2024-01-01
ITEM022,Gobi 65,Starters,Veg,120,Yes,1,320,12,2024-01-01
ITEM023,Paneer 65,Starters,Veg,140,Yes,1,380,12,2024-01-01
ITEM024,Egg Bhurji,Starters,Non-Veg,90,No,1,280,8,2024-01-01
ITEM025,Parotta (2 pcs),Breads,Maida,30,Yes,1,280,8,2024-01-01
ITEM026,Chappati (2 pcs),Breads,Wheat,25,Yes,1,200,8,2024-01-01
ITEM027,Naan (2 pcs),Breads,Maida,60,Yes,1,320,10,2024-01-01
ITEM028,Filter Coffee,Beverages,Hot,25,Yes,1,60,5,2024-01-01
ITEM029,Tea,Beverages,Hot,15,Yes,1,40,5,2024-01-01
ITEM030,Lassi,Beverages,Cold,50,Yes,1,180,5,2024-01-01
ITEM031,Fresh Lime Soda,Beverages,Cold,40,Yes,1,80,3,2024-01-01
ITEM032,Buttermilk,Beverages,Cold,20,Yes,1,60,3,2024-01-01
ITEM033,Gulab Jamun (2 pcs),Desserts,Sweet,60,Yes,1,280,5,2024-01-01
ITEM034,Payasam,Desserts,Sweet,55,Yes,1,320,5,2024-01-01
ITEM035,Halwa,Desserts,Sweet,50,Yes,1,300,5,2024-01-01
ITEM036,Chicken Curry,Curry,Non-Veg,140,No,1,380,20,2024-01-01
ITEM037,Mutton Curry,Curry,Non-Veg,180,No,1,420,25,2024-01-01
ITEM038,Paneer Butter Masala,Curry,Veg,150,Yes,1,380,18,2024-01-01
ITEM039,Dal Tadka,Curry,Veg,90,Yes,1,280,15,2024-01-01
ITEM040,Rasam,Soups,Veg,30,Yes,1,80,10,2024-01-01
